fly_mc@pari.cafe,withReplies=false
old_Liu@m.cmx.im,withReplies=false
aoikotori@m.cmx.im,withReplies=false
gohugoio@fosstodon.org,withReplies=true
mariadb_org@fosstodon.org,withReplies=true
ai@pari.cafe,withReplies=true
keepassxc@fosstodon.org,withReplies=true
natsuki@pari.cafe,withReplies=true
kanboard@mastodon.social,withReplies=true
announcement@pari.cafe,withReplies=false
xiaojingcanxue@x.good.news,withReplies=false
debian@framapiaf.org,withReplies=false
OBSProject@mastodon.social,withReplies=true
